cars,motorcycles,buses,trucks,total_vehicles,average_movement,road_occupancy,congestion_level
12,15,3,2,32,48.93,41.7,MEDIUM
43,20,3,3,69,18.45,66.4,HIGH
25,17,6,7,55,2.44,67.15,HIGH
16,17,3,3,39,42.7,44.9,MEDIUM
16,10,3,2,31,62.88,58.0,MEDIUM
26,21,6,4,57,5.24,72.7,HIGH
20,18,3,2,43,53.86,41.91,MEDIUM
21,9,4,3,37,26.4,33.06,MEDIUM
28,15,5,11,59,14.71,63.83,HIGH
9,7,1,2,19,97.07,23.46,LOW
36,15,5,4,60,32.0,86.24,HIGH
7,1,0,0,8,159.12,15.21,LOW
18,9,2,1,30,45.2,44.15,MEDIUM
26,13,5,3,47,5.55,58.0,HIGH
29,17,3,7,56,17.06,76.69,HIGH
25,20,5,7,57,2.75,76.8,HIGH
9,4,0,1,14,80.52,22.13,LOW
39,17,4,5,65,22.01,78.98,HIGH
40,9,7,6,62,11.83,71.31,HIGH
0,3,0,0,3,105.8,12.17,LOW
13,5,4,2,24,36.16,51.1,MEDIUM
7,7,1,0,15,146.91,23.28,LOW
27,7,1,4,39,41.78,48.33,MEDIUM
17,7,1,1,26,45.32,43.26,MEDIUM
10,5,1,0,16,114.23,6.52,LOW
13,6,1,3,23,93.91,20.57,LOW
4,1,0,2,7,126.36,14.67,LOW
40,8,6,3,57,24.77,75.45,HIGH
29,20,3,7,59,13.32,58.0,HIGH
27,16,3,3,49,24.79,69.52,HIGH
23,14,2,2,41,50.01,46.81,MEDIUM
7,5,2,0,14,134.61,13.72,LOW
22,14,1,1,38,60.3,35.37,MEDIUM
15,10,3,1,29,54.01,40.76,MEDIUM
18,7,3,2,30,42.21,52.57,MEDIUM
10,2,1,0,13,94.97,16.92,LOW
41,17,5,3,66,9.83,90.19,HIGH
17,4,3,2,26,56.0,37.73,MEDIUM
24,21,4,8,57,12.31,69.29,HIGH
7,1,0,0,8,118.07,10.04,LOW
7,8,1,0,16,126.4,16.17,LOW
8,7,0,2,17,118.46,12.51,LOW
6,7,2,2,17,95.95,13.74,LOW
40,13,10,4,67,9.55,68.91,HIGH
8,2,0,0,10,136.9,15.13,LOW
0,3,2,0,5,85.02,11.97,LOW
32,8,9,6,55,12.56,85.95,HIGH
16,14,1,2,33,50.41,42.89,MEDIUM
28,14,3,3,48,37.61,45.18,MEDIUM
33,8,9,3,53,8.78,70.04,HIGH
16,9,3,3,31,28.69,50.51,MEDIUM
32,19,2,3,56,10.57,74.71,HIGH
8,6,0,0,14,129.86,7.47,LOW
17,9,2,2,30,50.63,33.52,MEDIUM
11,1,1,2,15,69.81,16.11,LOW
10,2,0,1,13,104.41,19.28,LOW
15,6,2,3,26,43.71,52.82,MEDIUM
6,4,0,0,10,130.31,23.14,LOW
4,4,0,1,9,148.27,22.31,LOW
46,17,6,8,77,19.13,69.49,HIGH
5,4,0,0,9,74.84,14.5,LOW
3,1,2,1,7,125.6,18.77,LOW
23,14,3,3,43,39.43,36.3,MEDIUM
12,1,2,1,16,92.37,14.67,LOW
29,6,2,3,40,31.49,36.94,MEDIUM
35,12,6,5,58,19.69,69.7,HIGH
21,10,3,3,37,56.07,53.58,MEDIUM
42,14,3,7,66,13.68,69.41,HIGH
16,10,0,1,27,126.13,23.21,LOW
25,15,2,3,45,39.14,51.38,MEDIUM
6,0,0,0,6,65.0,14.67,LOW
25,5,2,2,34,43.65,33.55,MEDIUM
21,15,3,1,40,66.52,44.51,MEDIUM
28,16,5,8,57,12.54,69.52,HIGH
5,0,1,2,8,106.56,20.72,LOW
11,0,0,0,11,133.76,25.26,LOW
25,6,1,2,34,48.95,46.39,MEDIUM
16,6,0,1,23,93.46,20.11,LOW
30,16,3,2,51,49.41,40.72,MEDIUM
5,5,1,0,11,141.64,9.8,LOW
31,16,4,2,53,13.28,71.25,HIGH
1,9,0,2,12,70.14,11.4,LOW
10,5,1,0,16,118.46,13.23,LOW
8,5,0,1,14,83.31,14.15,LOW
3,5,2,3,13,125.95,18.01,LOW
16,8,4,1,29,65.32,44.7,MEDIUM
38,14,6,6,64,9.01,78.67,HIGH
29,17,4,6,56,26.56,79.45,HIGH
37,11,4,8,60,19.47,92.68,HIGH
10,6,1,1,18,105.07,14.09,LOW
20,6,2,3,31,55.02,53.21,MEDIUM
20,10,2,4,36,40.18,54.26,MEDIUM
12,15,3,3,33,61.42,33.83,MEDIUM
12,6,0,1,19,144.76,18.35,LOW
35,14,4,2,55,17.47,69.6,HIGH
16,10,3,4,33,58.45,48.31,MEDIUM
33,21,7,7,68,12.78,64.28,HIGH
9,2,1,0,12,108.35,7.73,LOW
16,2,0,0,18,65.0,11.85,LOW
33,21,4,7,65,13.77,64.73,HIGH
27,16,3,4,50,13.03,61.71,HIGH
15,12,2,3,32,43.47,40.7,MEDIUM
33,14,5,5,57,13.76,58.0,HIGH
10,3,0,0,13,109.31,25.63,LOW
15,11,2,3,31,34.83,28.0,MEDIUM
18,7,3,4,32,51.68,49.97,MEDIUM
25,11,2,2,40,36.89,48.68,MEDIUM
33,10,6,5,54,12.37,81.68,HIGH
12,3,2,1,18,161.88,10.86,LOW
36,9,4,7,56,8.64,58.0,HIGH
19,8,2,3,32,34.19,48.21,MEDIUM
41,8,6,5,60,16.58,67.45,HIGH
38,15,7,6,66,14.36,65.96,HIGH
24,10,6,7,47,13.26,64.84,HIGH
10,2,1,1,14,68.26,18.26,LOW
19,10,3,1,33,42.72,43.69,MEDIUM
12,1,1,0,14,94.41,26.48,LOW
30,14,3,6,53,18.52,65.8,HIGH
15,7,2,3,27,60.8,45.61,MEDIUM
7,2,3,0,12,113.08,18.31,LOW
36,21,3,7,67,4.58,65.86,HIGH
12,4,4,3,23,39.58,46.28,MEDIUM
34,17,9,2,62,24.12,82.76,HIGH
7,2,0,1,10,128.42,13.31,LOW
6,2,0,0,8,161.41,8.38,LOW
17,9,3,1,30,55.5,34.16,MEDIUM
19,8,4,2,33,50.54,42.41,MEDIUM
16,12,3,2,33,37.9,28.0,MEDIUM
36,19,9,7,71,24.12,69.45,HIGH
38,15,2,4,59,14.16,59.64,HIGH
26,14,2,4,46,54.03,40.18,MEDIUM
34,14,6,3,57,10.63,74.61,HIGH
3,0,1,1,5,65.0,8.94,LOW
41,16,6,2,65,19.13,68.25,HIGH
14,6,1,2,23,61.7,46.13,MEDIUM
7,2,1,0,10,134.38,14.12,LOW
9,0,0,1,10,114.27,13.9,LOW
9,12,0,1,22,112.05,14.41,LOW
9,6,0,1,16,117.33,10.71,LOW
6,7,2,1,16,150.72,6.72,LOW
6,1,2,0,9,99.0,15.78,LOW
14,3,1,1,19,74.54,4.44,LOW
30,20,8,5,63,20.77,63.62,HIGH
6,5,1,0,12,124.67,12.15,LOW
24,14,4,6,48,16.43,65.65,HIGH
24,19,5,6,54,11.02,70.54,HIGH
31,11,3,3,48,15.47,58.84,HIGH
5,6,2,1,14,80.1,17.67,LOW
45,21,4,7,77,16.02,85.07,HIGH
0,4,2,2,8,79.26,17.98,LOW
16,9,2,2,29,49.92,40.28,MEDIUM
7,5,0,1,13,78.71,23.66,LOW
32,8,3,4,47,11.4,67.72,HIGH
32,5,4,3,44,53.37,56.07,MEDIUM
30,23,7,7,67,14.77,74.75,HIGH
19,4,2,2,27,46.93,40.07,MEDIUM
12,2,2,0,16,117.22,16.56,LOW
29,13,4,6,52,32.0,67.56,HIGH
10,9,0,1,20,127.25,12.59,LOW
33,21,4,4,62,10.69,65.19,HIGH
18,15,3,3,39,34.76,44.3,MEDIUM
46,22,2,5,75,13.58,78.4,HIGH
18,14,4,3,39,55.15,45.04,MEDIUM
17,9,4,2,32,69.38,39.42,MEDIUM
30,15,6,4,55,3.07,70.14,HIGH
31,19,5,3,58,9.11,75.79,HIGH
9,9,0,1,19,106.0,19.03,LOW
34,14,4,6,58,22.24,74.04,HIGH
7,5,0,1,13,98.15,14.91,LOW
7,7,1,0,15,142.61,5.03,LOW
15,4,2,3,24,61.85,41.39,MEDIUM
19,6,2,2,29,53.51,40.5,MEDIUM
5,3,0,0,8,92.18,15.64,LOW
46,18,7,2,73,24.71,94.08,HIGH
19,12,3,4,38,41.37,47.96,MEDIUM
30,10,2,2,44,47.84,52.98,MEDIUM
6,8,2,2,18,97.78,8.28,LOW
7,6,1,0,14,147.32,13.37,LOW
39,11,5,5,60,25.24,66.13,HIGH
28,17,3,4,52,17.33,76.68,HIGH
26,8,3,2,39,28.15,44.16,MEDIUM
50,8,2,7,67,11.25,71.14,HIGH
26,5,3,4,38,28.66,44.56,MEDIUM
13,10,4,3,30,42.72,45.65,MEDIUM
26,14,6,2,48,17.41,74.91,HIGH
17,3,0,2,22,149.49,11.86,LOW
22,10,3,3,38,45.75,37.41,MEDIUM
12,11,5,1,29,52.28,36.7,MEDIUM
34,21,3,4,62,23.07,73.6,HIGH
40,24,3,8,75,2.0,63.25,HIGH
26,15,5,2,48,18.32,64.58,HIGH
24,9,7,6,46,18.73,58.0,HIGH
26,4,2,2,34,54.55,51.84,MEDIUM
1,6,0,1,8,115.6,23.18,LOW
8,4,1,0,13,127.7,20.74,LOW
16,7,2,2,27,49.19,36.27,MEDIUM
12,7,1,2,22,109.34,9.71,LOW
8,0,1,1,10,65.0,17.24,LOW
25,9,1,2,37,52.14,51.83,MEDIUM
5,3,0,0,8,72.12,23.2,LOW
9,7,1,2,19,103.38,28.0,LOW
25,5,4,4,38,58.83,56.25,MEDIUM
24,15,4,4,47,14.77,78.42,HIGH
14,14,2,4,34,46.59,54.72,MEDIUM
24,26,5,6,61,15.59,67.38,HIGH
15,7,2,1,25,75.0,52.65,MEDIUM
8,0,0,0,8,84.96,13.31,LOW
33,15,5,7,60,20.46,76.33,HIGH
12,9,1,4,26,60.94,42.85,MEDIUM
47,21,3,3,74,13.3,77.91,HIGH
4,6,0,2,12,139.49,12.18,LOW
9,12,0,0,21,94.42,11.67,LOW
28,18,4,7,57,15.55,60.94,HIGH
34,17,3,5,59,9.42,84.07,HIGH
23,16,3,3,45,50.72,45.11,MEDIUM
10,6,0,1,17,130.01,19.53,LOW
21,4,3,2,30,73.08,35.8,MEDIUM
14,11,3,2,30,135.6,18.56,LOW
29,13,6,5,53,6.55,89.91,HIGH
38,15,7,6,66,17.47,64.18,HIGH
10,5,1,1,17,94.69,17.17,LOW
34,20,4,5,63,19.79,81.89,HIGH
36,13,6,4,59,6.33,58.0,HIGH
9,2,1,1,13,130.32,18.78,LOW
53,8,6,4,71,11.9,68.42,HIGH
8,0,0,0,8,84.68,16.89,LOW
23,17,2,2,44,52.78,47.17,MEDIUM
21,6,2,4,33,35.73,55.14,MEDIUM
33,19,6,5,63,10.6,58.03,HIGH
12,7,2,3,24,37.4,48.06,MEDIUM
21,7,1,2,31,67.07,49.41,MEDIUM
44,16,6,8,74,18.37,68.67,HIGH
17,15,2,3,37,51.7,28.0,MEDIUM
17,4,2,2,25,25.0,58.0,MEDIUM
8,1,1,1,11,137.08,21.32,LOW
9,4,0,0,13,98.84,20.14,LOW
13,9,1,0,23,121.5,10.93,LOW
35,19,2,4,60,19.2,92.88,HIGH
5,1,2,2,10,92.8,28.0,LOW
19,7,2,2,30,40.49,39.54,MEDIUM
4,0,2,0,6,111.69,6.45,LOW
7,4,1,0,12,134.1,28.0,LOW
19,11,2,4,36,26.59,43.15,MEDIUM
33,9,5,2,49,2.0,80.65,HIGH
3,5,0,0,8,106.79,3.71,LOW
18,5,1,0,24,114.95,14.13,LOW
21,11,2,4,38,63.16,36.99,MEDIUM
5,5,0,0,10,125.35,19.55,LOW
5,3,0,0,8,111.21,10.01,LOW
9,5,1,0,15,122.83,13.44,LOW
8,2,2,1,13,84.07,13.86,LOW
30,21,2,3,56,16.96,74.23,HIGH
37,20,3,6,66,6.44,80.31,HIGH
33,8,7,5,53,12.58,88.3,HIGH
24,14,1,2,41,32.04,36.8,MEDIUM
12,5,1,0,18,116.73,12.94,LOW
21,11,2,2,36,62.58,55.24,MEDIUM
34,12,2,9,57,20.92,78.8,HIGH
44,17,4,11,76,8.61,70.82,HIGH
5,10,0,0,15,130.56,7.67,LOW
30,8,5,7,50,19.6,81.38,HIGH
